INFO(chunker_countsort_laszip.cpp:176): counting 000151.las, first point: 0, num points: 127'671
INFO(chunker_countsort_laszip.cpp:176): counting 000156.las, first point: 0, num points: 128'116
INFO(chunker_countsort_laszip.cpp:176): counting 000148.las, first point: 0, num points: 127'569
INFO(chunker_countsort_laszip.cpp:176): counting 000152.las, first point: 0, num points: 127'880
INFO(chunker_countsort_laszip.cpp:176): counting 000160.las, first point: 0, num points: 128'100
INFO(chunker_countsort_laszip.cpp:176): counting 000154.las, first point: 0, num points: 128'066
INFO(chunker_countsort_laszip.cpp:176): counting 000159.las, first point: 0, num points: 127'835
INFO(chunker_countsort_laszip.cpp:176): counting 000157.las, first point: 0, num points: 128'085
INFO(chunker_countsort_laszip.cpp:176): counting 000149.las, first point: 0, num points: 127'727
INFO(chunker_countsort_laszip.cpp:176): counting 000161.las, first point: 0, num points: 128'317
INFO(chunker_countsort_laszip.cpp:176): counting 000162.las, first point: 0, num points: 128'185
INFO(chunker_countsort_laszip.cpp:176): counting 000155.las, first point: 0, num points: 128'082
INFO(chunker_countsort_laszip.cpp:176): counting 000158.las, first point: 0, num points: 127'979
INFO(chunker_countsort_laszip.cpp:176): counting 000171.las, first point: 0, num points: 125'679
INFO(chunker_countsort_laszip.cpp:176): counting 000168.las, first point: 0, num points: 126'296
INFO(chunker_countsort_laszip.cpp:176): counting 000174.las, first point: 0, num points: 125'416
INFO(chunker_countsort_laszip.cpp:176): counting 000163.las, first point: 0, num points: 127'873
INFO(chunker_countsort_laszip.cpp:176): counting 000165.las, first point: 0, num points: 127'227
INFO(chunker_countsort_laszip.cpp:176): counting 000166.las, first point: 0, num points: 126'700
INFO(chunker_countsort_laszip.cpp:176): counting 000169.las, first point: 0, num points: 126'244
INFO(chunker_countsort_laszip.cpp:176): counting 000170.las, first point: 0, num points: 125'954
INFO(chunker_countsort_laszip.cpp:176): counting 000173.las, first point: 0, num points: 125'533
INFO(chunker_countsort_laszip.cpp:176): counting 000175.las, first point: 0, num points: 125'545
INFO(chunker_countsort_laszip.cpp:176): counting 000172.las, first point: 0, num points: 125'437
INFO(chunker_countsort_laszip.cpp:176): counting 000164.las, first point: 0, num points: 127'558
INFO(chunker_countsort_laszip.cpp:176): counting 000176.las, first point: 0, num points: 125'737
INFO(chunker_countsort_laszip.cpp:176): counting 000167.las, first point: 0, num points: 126'482
INFO(chunker_countsort_laszip.cpp:176): counting 000186.las, first point: 0, num points: 125'013
INFO(chunker_countsort_laszip.cpp:176): counting 000181.las, first point: 0, num points: 125'276
INFO(chunker_countsort_laszip.cpp:176): counting 000180.las, first point: 0, num points: 125'397
INFO(chunker_countsort_laszip.cpp:176): counting 000177.las, first point: 0, num points: 125'630
INFO(chunker_countsort_laszip.cpp:176): counting 000189.las, first point: 0, num points: 124'836
INFO(chunker_countsort_laszip.cpp:176): counting 000183.las, first point: 0, num points: 125'046
INFO(chunker_countsort_laszip.cpp:176): counting 000190.las, first point: 0, num points: 124'874
INFO(chunker_countsort_laszip.cpp:176): counting 000184.las, first point: 0, num points: 125'007
INFO(chunker_countsort_laszip.cpp:176): counting 000182.las, first point: 0, num points: 125'088
INFO(chunker_countsort_laszip.cpp:176): counting 000178.las, first point: 0, num points: 125'590
INFO(chunker_countsort_laszip.cpp:176): counting 000187.las, first point: 0, num points: 124'859
INFO(chunker_countsort_laszip.cpp:176): counting 000191.las, first point: 0, num points: 124'929
INFO(chunker_countsort_laszip.cpp:176): counting 000185.las, first point: 0, num points: 125'018
INFO(chunker_countsort_laszip.cpp:176): counting 000188.las, first point: 0, num points: 124'852
INFO(chunker_countsort_laszip.cpp:176): counting 000179.las, first point: 0, num points: 125'530
INFO(chunker_countsort_laszip.cpp:176): counting 000192.las, first point: 0, num points: 124'904
INFO(chunker_countsort_laszip.cpp:176): counting 000204.las, first point: 0, num points: 125'793
INFO(chunker_countsort_laszip.cpp:176): counting 000198.las, first point: 0, num points: 125'301
INFO(chunker_countsort_laszip.cpp:176): counting 000201.las, first point: 0, num points: 125'557
INFO(chunker_countsort_laszip.cpp:176): counting 000195.las, first point: 0, num points: 124'938
INFO(chunker_countsort_laszip.cpp:176): counting 000199.las, first point: 0, num points: 125'409
INFO(chunker_countsort_laszip.cpp:176): counting 000193.las, first point: 0, num points: 124'929
INFO(chunker_countsort_laszip.cpp:176): counting 000205.las, first point: 0, num points: 126'096
INFO(chunker_countsort_laszip.cpp:176): counting 000196.las, first point: 0, num points: 125'100
INFO(chunker_countsort_laszip.cpp:176): counting 000202.las, first point: 0, num points: 125'591
INFO(chunker_countsort_laszip.cpp:176): counting 000203.las, first point: 0, num points: 125'629
INFO(chunker_countsort_laszip.cpp:176): counting 000200.las, first point: 0, num points: 125'449
